Region,Location,Items required,ID,Vanilla Item,Notes
Loner's Landing Blighted Docks Fences Bottom,LL Blighted Docks Tall Room Chest,Burrow,29,Bonestone Dust,Surrounded by fences
Loner's Landing Blighted Docks Side Cave,LL Blighted Docks Side Cave Chest,,28,Bonestone Dust,Platforming sideroom with owl
Loner's Landing Blighted Docks Bridge,LL Blighted Docks Bridge Chest,"Bounce, Climb",31,Bonestone Dust,Bounce blossom to right of pit rope
Loner's Landing Blighted Docks Residence,LL Blighted Docks Residence Chest,Burrow,26,Bonestone Flakes,"Breakable door to left of pit rope, room w/ 3 mercs"
Loner's Landing Blighted Docks Burrow,LL Blighted Docks Burrow Residence Bubble,Burrow,23,Kear,Inside burrow hole at first Kear lock
Loner's Landing Boardwalk Fire Bounce,LL Boardwalk Fire Bounce Chest,Bounce,27,Kear,Bounce blossom sideroom with fire
Loner's Landing Boardwalk Sandfalls Ledge,LL Boardwalk Sandfalls Ledge Chest,Bounce,324,Bonestone Flakes,On a ledge from rightmost bounce blossom in Boardwalk 2
Loner's Landing Boat Side,LL Shipwreck Beach Trigger Antennae,"Fishing Rod, Burrow",32,Trigger Antennae,Fish up south of Bayou Station
Loner's Landing Belowdecks,LL Belowdecks Unchosen Weapon #1,"Kear x4, Burrow",17,Unchosen Weapon #1,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab weapon behind 2 Kear locks"
Loner's Landing Belowdecks,LL Belowdecks Unchosen Weapon #2,"Kear x4, Burrow",18,Unchosen Weapon #2,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab weapon behind 2 Kear locks"
Loner's Landing Belowdecks,LL Belowdecks Chest,CanJumpTiles(distance=2),30,Bonestone Flakes,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab chest"
Ossex Entry Western Wall Chest,SO Commons Ossex Entry Left Chest,,270,Kear,On ledge accessible from room in Upper Bowery in Ossex
Ossex Entry Eastern Wall Chest,SO Commons Ossex Entry Right Chest,,266,Bonestone Shard,"On ledge accessible from room to right, use Furl from bottom right of Ossex High Street"
Southern Outskirts Commons Main,SO Commons Chest,"Burrow, Float",264,Bonestone Flakes,On ledge reachable with bounce blossom after defeating Thorne
Southern Outskirts Commons Main,SO Commons Crumblefin Head,"Burrow, Float, Fishing Rod",274,Crumblefin Head,"In front of Mining Path entrance with Hulk, fish up Crumblefin and throw it at a wall"
Southern Outskirts Cave Network Deep Exit,SO Cave Network Chest,,265,Joule Box,"On right ledge in Side Room, use bounce blossom"
