area,name,from_region,to_region,transition_type,direction,rule,notes
ossex_train,Ossex Train Caboose East Transition,Ossex Train Caboose,Ossex Train Interior,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Train Interior West Transition,Ossex Train Interior,Ossex Train Caboose,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Stop,Ossex Train Interior,Ossex Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""HUBTicket"")",
ossex_train,Bayou Stop,Ossex Train Interior,Backwaters Lower Swamp Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""BayouTicket"")",
ossex_train,Sandfalls Stop,Ossex Train Interior,Sandfalls Sandy Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""BoneBeachTicket"")",
ossex_train,Kindlewood Stop,Ossex Train Interior,Kindlewood Farm Crossing,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""SeptemburgTicket"")",
ossex_train,Coltrane Peak Stop,Ossex Train Interior,Coltrane Peak Thorne Arena,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""FrozenTrainyardTicket"")",
ossex_train,Ossex Train Interior Cabin Door,Ossex Train Interior,Ossex Train Private Cabin Middle,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Train Interior East Exit,Ossex Train Interior,Ossex Train Coupling,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Train Private Cabin Middle Exit,Ossex Train Private Cabin Middle,Ossex Train Interior,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Train Interior Sneaky Burrow,Ossex Train Interior,Ossex Train Private Cabin Right,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex_train,Ossex Train Private Cabin Right Sneaky Burrow,Ossex Train Private Cabin Right,Ossex Train Interior,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
